Dato,date_key,order_1,order_2,order_3,order_4,order_5,Tall1,Tall2,Tall3,Tall4,Tall5,Stjerne1,Stjerne2,source_1,source_2,source_3,source_4,source_5,n_inferred
2013-05-24,20130524,2,9,4,20,41,2,4,9,20,41,3,5,detektert,detektert,detektert,detektert,inferert,1
2013-05-31,20130531,9,5,12,23,40,5,9,12,23,40,2,7,detektert,detektert,detektert,detektert,inferert,1
2013-06-07,20130607,11,9,6,29,35,6,9,11,29,35,2,6,detektert,detektert,detektert,inferert,inferert,2
2013-06-14,20130614,1,25,46,47,48,1,25,46,47,48,3,8,detektert,detektert,detektert,detektert,inferert,1
2013-06-21,20130621,14,21,5,23,50,5,14,21,23,50,2,7,detektert,detektert,detektert,detektert,detektert,0
2013-06-28,20130628,23,33,49,8,6,6,8,23,33,49,3,8,detektert,detektert,detektert,detektert,detektert,0
2013-07-12,20130712,47,48,7,27,33,7,27,33,47,48,2,7,detektert,detektert,detektert,detektert,detektert,0
2013-07-19,20130719,7,18,19,33,37,7,18,19,33,37,2,5,detektert,detektert,inferert,inferert,inferert,3
2013-07-26,20130726,13,4,19,25,43,4,13,19,25,43,3,4,detektert,detektert,inferert,inferert,inferert,3
2013-08-02,20130802,14,37,33,29,23,14,23,29,33,37,2,5,detektert,detektert,detektert,detektert,detektert,0
2013-08-09,20130809,26,49,7,32,34,7,26,32,34,49,1,6,detektert,detektert,detektert,detektert,detektert,0
2013-08-16,20130816,33,49,38,5,32,5,32,33,38,49,3,8,detektert,detektert,detektert,detektert,detektert,0
2013-08-23,20130823,25,10,4,30,47,4,10,25,30,47,2,3,detektert,detektert,detektert,detektert,detektert,0
2013-08-30,20130830,9,17,43,6,10,6,9,10,17,43,2,8,detektert,detektert,detektert,detektert,detektert,0
2013-09-06,20130906,32,7,20,3,44,3,7,20,32,44,4,5,detektert,detektert,detektert,detektert,inferert,1
2013-09-13,20130913,43,18,10,3,31,3,10,18,31,43,1,7,detektert,detektert,detektert,detektert,detektert,0
2013-09-20,20130920,2,15,6,18,24,2,6,15,18,24,5,7,detektert,detektert,detektert,detektert,detektert,0
2013-09-27,20130927,6,21,34,10,36,6,10,21,34,36,1,4,detektert,detektert,detektert,detektert,detektert,0
2013-10-04,20131004,7,16,48,21,1,1,7,16,21,48,1,8,detektert,detektert,detektert,detektert,detektert,0
2013-10-11,20131011,29,23,11,2,34,2,11,23,29,34,7,8,detektert,detektert,detektert,detektert,inferert,1
2013-10-18,20131018,24,25,7,22,41,7,22,24,25,41,1,3,detektert,detektert,detektert,detektert,inferert,1
2013-10-25,20131025,9,39,41,25,46,9,25,39,41,46,2,8,detektert,detektert,detektert,detektert,inferert,1
2013-11-01,20131101,7,27,26,13,10,7,10,13,26,27,5,8,detektert,detektert,detektert,detektert,detektert,0
2013-11-08,20131108,25,18,28,34,42,18,25,28,34,42,3,4,detektert,detektert,detektert,inferert,inferert,2
2013-11-15,20131115,3,43,19,32,48,3,19,32,43,48,4,8,detektert,detektert,detektert,detektert,detektert,0
2013-11-22,20131122,1,38,39,42,47,1,38,39,42,47,1,2,detektert,detektert,inferert,inferert,inferert,3
2013-11-29,20131129,17,25,32,35,45,17,25,32,35,45,4,7,detektert,detektert,detektert,detektert,detektert,0
2013-12-06,20131206,8,18,1,25,47,1,8,18,25,47,2,7,detektert,detektert,detektert,inferert,inferert,2
2013-12-13,20131213,49,28,24,19,9,9,19,24,28,49,2,8,detektert,detektert,detektert,detektert,detektert,0
2013-12-20,20131220,12,22,37,40,9,9,12,22,37,40,6,8,detektert,detektert,detektert,detektert,detektert,0
2013-12-27,20131227,15,43,2,40,33,2,15,33,40,43,3,7,detektert,detektert,detektert,detektert,inferert,1
2014-01-03,20140103,1,16,34,36,37,1,16,34,36,37,4,6,detektert,detektert,detektert,detektert,inferert,1
2014-01-10,20140110,18,8,33,22,40,8,18,22,33,40,2,8,detektert,detektert,detektert,detektert,inferert,1
2014-01-17,20140117,4,7,25,29,17,4,7,17,25,29,2,4,detektert,detektert,detektert,detektert,inferert,1
2014-01-24,20140124,30,36,46,4,28,4,28,30,36,46,3,7,detektert,detektert,detektert,detektert,detektert,0
2014-01-31,20140131,29,12,39,40,17,12,17,29,39,40,5,6,detektert,detektert,detektert,detektert,detektert,0
2014-02-07,20140207,16,20,18,36,49,16,18,20,36,49,3,4,detektert,detektert,detektert,detektert,inferert,1
2014-02-14,20140214,19,22,21,28,45,19,21,22,28,45,6,7,detektert,detektert,detektert,detektert,inferert,1
2014-02-21,20140221,4,21,30,2,41,2,4,21,30,41,7,8,detektert,detektert,detektert,detektert,inferert,1
2014-02-28,20140228,17,2,21,22,45,2,17,21,22,45,1,5,detektert,detektert,inferert,inferert,inferert,3
2014-03-07,20140307,14,15,7,20,39,7,14,15,20,39,1,8,detektert,detektert,detektert,detektert,inferert,1
2014-03-21,20140321,8,42,35,38,18,8,18,35,38,42,4,6,detektert,detektert,detektert,detektert,detektert,0
2014-03-28,20140328,10,35,32,38,45,10,32,35,38,45,4,5,detektert,detektert,detektert,detektert,inferert,1
2014-04-04,20140404,10,33,16,28,30,10,16,28,30,33,4,6,detektert,detektert,detektert,detektert,detektert,0
2014-04-11,20140411,22,1,7,14,44,1,7,14,22,44,1,2,detektert,detektert,detektert,inferert,inferert,2
2014-04-25,20140425,4,48,39,10,7,4,7,10,39,48,3,4,detektert,detektert,detektert,detektert,inferert,1
2014-05-02,20140502,33,31,34,32,9,9,31,32,33,34,6,8,detektert,detektert,detektert,detektert,inferert,1
2014-05-09,20140509,1,22,43,11,14,1,11,14,22,43,3,4,detektert,detektert,detektert,detektert,detektert,0
2014-05-16,20140516,43,28,42,36,9,9,28,36,42,43,2,8,detektert,detektert,detektert,detektert,detektert,0
2014-05-23,20140523,37,47,21,6,33,6,21,33,37,47,7,8,detektert,detektert,detektert,detektert,detektert,0
2014-05-30,20140530,25,17,26,35,7,7,17,25,26,35,4,7,detektert,detektert,detektert,detektert,detektert,0
2014-06-06,20140606,37,9,19,6,38,6,9,19,37,38,4,8,detektert,detektert,detektert,detektert,inferert,1
2014-06-13,20140613,8,15,18,1,39,1,8,15,18,39,1,6,detektert,detektert,detektert,detektert,inferert,1
2014-06-20,20140620,23,33,10,6,41,6,10,23,33,41,6,8,detektert,detektert,detektert,detektert,inferert,1
2014-06-27,20140627,33,11,44,35,42,11,33,35,42,44,4,6,detektert,detektert,detektert,detektert,inferert,1
2014-07-04,20140704,13,42,10,3,11,3,10,11,13,42,1,8,detektert,detektert,detektert,detektert,detektert,0
2014-07-11,20140711,3,10,16,35,45,3,10,16,35,45,4,6,detektert,detektert,inferert,inferert,inferert,3
2014-07-18,20140718,45,18,11,6,15,6,11,15,18,45,5,8,detektert,detektert,detektert,detektert,detektert,0
2014-07-25,20140725,10,36,3,43,47,3,10,36,43,47,2,5,detektert,detektert,detektert,inferert,inferert,2
2014-08-01,20140801,18,38,5,47,33,5,18,33,38,47,3,6,detektert,detektert,detektert,detektert,detektert,0
2014-08-08,20140808,15,19,21,34,40,15,19,21,34,40,3,4,inferert,inferert,inferert,inferert,inferert,5
2014-08-15,20140815,17,38,41,43,47,17,38,41,43,47,4,6,detektert,detektert,detektert,inferert,inferert,2
2014-08-22,20140822,19,20,40,42,47,19,20,40,42,47,2,8,detektert,detektert,detektert,detektert,inferert,1
2014-08-29,20140829,37,9,12,8,1,1,8,9,12,37,2,6,detektert,detektert,detektert,detektert,detektert,0
2014-09-05,20140905,31,33,26,39,40,26,31,33,39,40,5,6,detektert,detektert,detektert,inferert,inferert,2
2014-09-12,20140912,29,9,17,2,25,2,9,17,25,29,3,5,detektert,detektert,detektert,detektert,inferert,1
2014-09-19,20140919,18,13,20,38,39,13,18,20,38,39,1,8,detektert,detektert,inferert,inferert,inferert,3
2014-09-26,20140926,8,26,32,44,50,8,26,32,44,50,4,7,detektert,detektert,detektert,detektert,inferert,1
2014-10-03,20141003,15,34,8,44,49,8,15,34,44,49,4,8,detektert,detektert,detektert,detektert,inferert,1
2014-10-10,20141010,17,11,20,22,29,11,17,20,22,29,4,6,detektert,detektert,detektert,inferert,inferert,2
2014-10-17,20141017,24,35,14,27,39,14,24,27,35,39,7,8,detektert,detektert,detektert,detektert,inferert,1
2014-10-24,20141024,26,22,15,37,3,3,15,22,26,37,2,4,detektert,detektert,detektert,detektert,detektert,0
2014-10-31,20141031,7,27,43,3,46,3,7,27,43,46,3,8,detektert,detektert,detektert,detektert,inferert,1
2014-11-07,20141107,33,25,13,5,35,5,13,25,33,35,4,8,detektert,detektert,detektert,detektert,inferert,1
2014-11-28,20141128,6,18,29,16,35,6,16,18,29,35,6,9,detektert,detektert,detektert,detektert,inferert,1
2014-12-05,20141205,42,25,47,32,11,11,25,32,42,47,4,9,detektert,detektert,detektert,detektert,detektert,0
2014-12-12,20141212,1,19,8,15,37,1,8,15,19,37,7,9,detektert,detektert,detektert,detektert,inferert,1
2014-12-19,20141219,11,32,49,10,25,10,11,25,32,49,5,9,detektert,detektert,detektert,detektert,detektert,0
2014-12-26,20141226,2,30,21,39,43,2,21,30,39,43,5,7,detektert,detektert,detektert,detektert,detektert,0
2015-01-02,20150102,38,42,16,48,29,16,29,38,42,48,5,6,detektert,detektert,detektert,detektert,detektert,0
2015-01-09,20150109,13,19,20,27,41,13,19,20,27,41,5,9,detektert,detektert,detektert,inferert,inferert,2
2015-01-16,20150116,1,4,14,32,48,1,4,14,32,48,5,6,detektert,detektert,detektert,inferert,inferert,2
2015-01-23,20150123,14,13,30,2,32,2,13,14,30,32,1,3,detektert,detektert,detektert,detektert,detektert,0
2015-01-30,20150130,3,4,8,11,41,3,4,8,11,41,2,8,detektert,detektert,detektert,inferert,inferert,2
2015-02-06,20150206,19,22,3,37,39,3,19,22,37,39,5,10,detektert,detektert,detektert,inferert,inferert,2
2015-02-13,20150213,3,46,7,14,48,3,7,14,46,48,6,9,detektert,detektert,detektert,detektert,detektert,0
2015-02-20,20150220,29,16,44,18,1,1,16,18,29,44,2,7,detektert,detektert,detektert,detektert,detektert,0
2015-02-27,20150227,9,30,28,43,49,9,28,30,43,49,8,10,detektert,detektert,detektert,detektert,inferert,1
2015-03-13,20150313,1,25,10,44,39,1,10,25,39,44,1,2,detektert,detektert,detektert,detektert,inferert,1
2015-03-20,20150320,38,9,13,11,35,9,11,13,35,38,5,7,detektert,detektert,detektert,detektert,detektert,0
2015-03-27,20150327,26,31,3,33,50,3,26,31,33,50,3,9,detektert,detektert,detektert,detektert,detektert,0
2015-04-03,20150403,34,37,43,5,48,5,34,37,43,48,2,4,detektert,detektert,detektert,detektert,inferert,1
2015-04-10,20150410,18,26,1,40,47,1,18,26,40,47,3,4,detektert,detektert,detektert,inferert,inferert,2
2015-04-17,20150417,6,20,5,13,33,5,6,13,20,33,3,8,detektert,detektert,detektert,detektert,inferert,1
2015-04-24,20150424,17,4,46,27,33,4,17,27,33,46,3,9,detektert,detektert,detektert,detektert,detektert,0
2015-05-01,20150501,25,24,30,8,50,8,24,25,30,50,4,6,detektert,detektert,detektert,detektert,detektert,0
2015-05-08,20150508,32,31,40,19,46,19,31,32,40,46,8,9,detektert,detektert,detektert,detektert,inferert,1
2015-05-15,20150515,38,46,12,18,14,12,14,18,38,46,9,10,detektert,detektert,detektert,detektert,detektert,0
2015-05-22,20150522,24,8,50,23,39,8,23,24,39,50,1,5,detektert,detektert,detektert,detektert,detektert,0
2015-06-05,20150605,41,40,38,19,50,19,38,40,41,50,1,5,detektert,detektert,detektert,detektert,inferert,1
2015-06-12,20150612,39,23,30,27,17,17,23,27,30,39,6,8,detektert,detektert,detektert,detektert,detektert,0
2015-06-19,20150619,12,21,14,20,39,12,14,20,21,39,5,10,detektert,detektert,detektert,detektert,inferert,1
2015-06-26,20150626,27,14,47,28,35,14,27,28,35,47,1,8,detektert,detektert,detektert,detektert,detektert,0
2015-07-03,20150703,1,45,31,41,40,1,31,40,41,45,5,9,detektert,detektert,detektert,detektert,detektert,0
2015-07-10,20150710,35,36,47,39,12,12,35,36,39,47,3,6,detektert,detektert,detektert,detektert,detektert,0
2015-07-17,20150717,21,30,6,37,44,6,21,30,37,44,1,3,detektert,detektert,detektert,detektert,inferert,1
2015-07-24,20150724,30,6,12,15,20,6,12,15,20,30,3,6,detektert,detektert,detektert,detektert,inferert,1
2015-07-31,20150731,49,19,24,11,46,11,19,24,46,49,1,5,detektert,detektert,detektert,detektert,inferert,1
2015-08-07,20150807,9,1,49,15,22,1,9,15,22,49,4,7,detektert,detektert,detektert,detektert,detektert,0
2015-08-14,20150814,41,7,28,1,27,1,7,27,28,41,2,6,detektert,detektert,detektert,detektert,detektert,0
2015-08-21,20150821,13,20,39,42,40,13,20,39,40,42,3,9,detektert,detektert,detektert,detektert,inferert,1
2015-08-28,20150828,33,5,8,34,46,5,8,33,34,46,3,8,detektert,detektert,detektert,detektert,inferert,1
2015-09-04,20150904,37,23,41,12,46,12,23,37,41,46,3,7,detektert,detektert,detektert,detektert,inferert,1
2015-09-11,20150911,30,7,31,22,27,7,22,27,30,31,5,7,detektert,detektert,detektert,detektert,detektert,0
2015-09-18,20150918,7,3,41,13,48,3,7,13,41,48,1,7,detektert,detektert,detektert,detektert,inferert,1
2015-09-25,20150925,5,13,3,16,30,3,5,13,16,30,3,6,detektert,detektert,detektert,detektert,inferert,1
2015-10-02,20151002,7,9,39,28,47,7,9,28,39,47,2,8,detektert,detektert,detektert,detektert,inferert,1
2015-10-09,20151009,26,23,14,31,13,13,14,23,26,31,3,9,detektert,detektert,detektert,detektert,detektert,0
2015-10-16,20151016,11,19,38,42,46,11,19,38,42,46,3,9,detektert,inferert,inferert,inferert,inferert,4
2015-10-23,20151023,36,18,34,16,49,16,18,34,36,49,6,8,detektert,detektert,detektert,detektert,detektert,0
2015-10-30,20151030,36,16,15,37,5,5,15,16,36,37,3,5,detektert,detektert,detektert,detektert,detektert,0
2015-11-06,20151106,2,4,22,24,8,2,4,8,22,24,3,9,detektert,detektert,detektert,detektert,detektert,0
2015-11-13,20151113,49,26,27,19,23,19,23,26,27,49,3,10,detektert,detektert,detektert,detektert,inferert,1
2015-11-20,20151120,18,20,1,31,36,1,18,20,31,36,5,9,detektert,detektert,detektert,detektert,inferert,1
2015-11-27,20151127,7,49,26,2,13,2,7,13,26,49,3,4,detektert,detektert,detektert,detektert,detektert,0
2015-12-04,20151204,26,14,34,16,38,14,16,26,34,38,2,8,detektert,detektert,detektert,detektert,inferert,1
2015-12-11,20151211,39,37,34,36,49,34,36,37,39,49,8,10,detektert,detektert,detektert,detektert,detektert,0
2015-12-18,20151218,27,11,19,32,42,11,19,27,32,42,5,9,detektert,detektert,detektert,inferert,inferert,2
2015-12-25,20151225,36,33,9,8,34,8,9,33,34,36,3,9,detektert,detektert,detektert,detektert,inferert,1
2016-01-08,20160108,2,47,24,5,1,1,2,5,24,47,3,8,detektert,detektert,detektert,detektert,detektert,0
2016-01-15,20160115,39,25,4,23,37,4,23,25,37,39,1,9,detektert,detektert,detektert,detektert,inferert,1
2016-01-22,20160122,29,19,26,3,36,3,19,26,29,36,4,9,detektert,detektert,detektert,detektert,detektert,0
2016-01-29,20160129,32,40,42,3,20,3,20,32,40,42,4,9,detektert,detektert,detektert,detektert,detektert,0
2016-02-05,20160205,25,10,35,37,43,10,25,35,37,43,5,8,detektert,detektert,detektert,inferert,inferert,2
2016-02-12,20160212,7,20,21,33,41,7,20,21,33,41,1,2,detektert,detektert,detektert,inferert,inferert,2
2016-02-19,20160219,10,49,12,28,29,10,12,28,29,49,3,4,detektert,detektert,inferert,inferert,inferert,3
2016-02-26,20160226,9,11,19,42,45,9,11,19,42,45,7,10,detektert,detektert,inferert,inferert,inferert,3
2016-03-04,20160304,10,13,2,5,28,2,5,10,13,28,3,10,detektert,detektert,detektert,detektert,detektert,0
2016-03-18,20160318,47,35,20,50,10,10,20,35,47,50,4,7,detektert,detektert,detektert,detektert,detektert,0
2016-03-25,20160325,9,10,19,20,35,9,10,19,20,35,3,4,detektert,detektert,detektert,detektert,inferert,1
2016-04-01,20160401,40,49,6,12,21,6,12,21,40,49,8,10,detektert,detektert,detektert,detektert,inferert,1
2016-04-08,20160408,31,50,2,1,16,1,2,16,31,50,1,7,detektert,detektert,detektert,detektert,detektert,0
2016-04-15,20160415,46,39,17,1,5,1,5,17,39,46,6,7,detektert,detektert,detektert,detektert,inferert,1
2016-04-22,20160422,5,31,33,28,49,5,28,31,33,49,1,2,detektert,detektert,detektert,detektert,detektert,0
2016-04-29,20160429,14,10,24,20,40,10,14,20,24,40,2,10,detektert,detektert,detektert,detektert,detektert,0
2016-05-06,20160506,24,46,38,12,45,12,24,38,45,46,6,10,detektert,detektert,detektert,detektert,detektert,0
2016-05-13,20160513,7,39,6,36,40,6,7,36,39,40,1,10,detektert,detektert,inferert,inferert,inferert,3
2016-05-20,20160520,33,23,19,6,34,6,19,23,33,34,4,7,detektert,detektert,detektert,detektert,inferert,1
2016-05-27,20160527,10,4,26,33,48,4,10,26,33,48,5,9,detektert,detektert,detektert,inferert,inferert,2
2016-06-03,20160603,34,47,20,32,13,13,20,32,34,47,6,9,detektert,detektert,detektert,detektert,detektert,0
2016-06-10,20160610,12,11,28,26,37,11,12,26,28,37,8,10,detektert,detektert,detektert,detektert,detektert,0
2016-06-17,20160617,18,19,16,23,44,16,18,19,23,44,1,3,detektert,detektert,detektert,inferert,inferert,2
2016-06-24,20160624,21,24,19,41,48,19,21,24,41,48,1,6,detektert,detektert,detektert,detektert,inferert,1
2016-07-01,20160701,47,29,38,50,37,29,37,38,47,50,2,4,detektert,detektert,detektert,detektert,detektert,0
2016-07-08,20160708,19,4,21,31,42,4,19,21,31,42,5,10,detektert,detektert,detektert,inferert,inferert,2
2016-07-15,20160715,36,22,38,12,50,12,22,36,38,50,2,9,detektert,detektert,detektert,detektert,detektert,0
2016-07-22,20160722,6,20,14,26,46,6,14,20,26,46,2,4,detektert,detektert,detektert,detektert,inferert,1
2016-07-29,20160729,8,36,22,4,44,4,8,22,36,44,5,10,detektert,detektert,detektert,detektert,inferert,1
2016-08-05,20160805,30,12,40,11,5,5,11,12,30,40,2,5,detektert,detektert,detektert,detektert,detektert,0
2016-08-12,20160812,18,6,15,38,21,6,15,18,21,38,1,4,detektert,detektert,detektert,detektert,inferert,1
2016-08-19,20160819,42,22,43,33,46,22,33,42,43,46,6,10,detektert,detektert,detektert,detektert,detektert,0
2016-08-26,20160826,8,9,4,33,43,4,8,9,33,43,5,9,detektert,detektert,detektert,detektert,inferert,1
2016-09-02,20160902,30,15,28,42,50,15,28,30,42,50,1,8,detektert,detektert,detektert,inferert,inferert,2
2016-09-09,20160909,11,35,27,39,34,11,27,34,35,39,6,10,detektert,detektert,detektert,detektert,inferert,1
2016-09-16,20160916,15,28,43,37,30,15,28,30,37,43,2,5,detektert,detektert,detektert,detektert,detektert,0
2016-09-23,20160923,25,7,45,1,23,1,7,23,25,45,5,8,detektert,detektert,detektert,detektert,inferert,1
2016-09-30,20160930,28,4,29,39,44,4,28,29,39,44,8,10,detektert,detektert,detektert,inferert,inferert,2
2016-10-07,20161007,20,43,44,1,10,1,10,20,43,44,6,9,detektert,detektert,detektert,detektert,inferert,1
2016-10-14,20161014,39,10,25,42,7,7,10,25,39,42,3,6,detektert,detektert,detektert,detektert,detektert,0
2016-10-21,20161021,35,14,16,28,34,14,16,28,34,35,3,9,detektert,detektert,detektert,detektert,detektert,0
2016-10-28,20161028,1,4,12,6,13,1,4,6,12,13,1,6,detektert,detektert,detektert,detektert,inferert,1
2016-11-04,20161104,16,50,15,14,22,14,15,16,22,50,2,10,detektert,detektert,detektert,detektert,detektert,0
2016-11-11,20161111,42,1,16,47,18,1,16,18,42,47,6,8,detektert,detektert,detektert,detektert,detektert,0
2016-11-18,20161118,10,40,16,7,32,7,10,16,32,40,1,6,detektert,detektert,detektert,detektert,detektert,0
2016-11-25,20161125,28,34,49,45,19,19,28,34,45,49,1,6,detektert,detektert,detektert,detektert,detektert,0
2016-12-02,20161202,50,39,48,20,1,1,20,39,48,50,3,7,detektert,detektert,detektert,detektert,inferert,1
2017-01-13,20170113,2,26,44,21,45,2,21,26,44,45,1,6,detektert,detektert,detektert,detektert,inferert,1
2017-01-20,20170120,5,25,35,23,40,5,23,25,35,40,5,8,detektert,detektert,detektert,detektert,detektert,0
2017-01-27,20170127,29,15,12,19,48,12,15,19,29,48,7,9,detektert,detektert,detektert,detektert,inferert,1
2017-02-03,20170203,5,4,47,39,17,4,5,17,39,47,3,4,detektert,detektert,detektert,detektert,detektert,0
2017-02-10,20170210,42,31,23,13,44,13,23,31,42,44,2,5,detektert,detektert,detektert,detektert,detektert,0
2017-02-17,20170217,7,49,19,40,18,7,18,19,40,49,5,6,detektert,detektert,detektert,detektert,inferert,1
2017-02-24,20170224,19,20,7,13,1,1,7,13,19,20,6,8,detektert,detektert,detektert,detektert,inferert,1
2017-03-03,20170303,18,7,3,16,25,3,7,16,18,25,2,10,detektert,detektert,detektert,detektert,inferert,1
2017-03-10,20170310,18,20,13,35,46,13,18,20,35,46,7,8,detektert,detektert,detektert,detektert,inferert,1
